t,Heart.heart_rate_measured,Heart.cardiac_cycle_state,Heart.ecg_signal,LV.pres,LV.vol,RV.pres,RV.vol,AA.pres,AA.vol,PA.pres,PA.vol,AA.ph,AA.pco2,AA.po2
489.0005,120.60301507537679,0,0.0,63.54810945932543,0.0067136822301416795,36.33177681666781,0.008274165399630502,58.88726664473323,0.006242912198073117,32.737223189249484,0.008155151245443006,7.628024943008108,22.522289967026502,121.55054933274413
489.01049999999975,59.97001499250375,0,0.0,67.86669037511793,0.005888907162226054,38.904275277730285,0.007664044252343515,64.01921287047533,0.006449989918328423,35.96856919684196,0.008534321248568497,7.628024943008108,22.522289967026502,121.55054933274413
489.0204999999995,59.97001499250375,0,0.0,71.13681440595919,0.005157411358930534,40.26847821954125,0.007112928829588365,67.84152580461966,0.006638375665276718,37.735466725422384,0.008834118321198282,7.628024943008108,22.522289967026502,121.55054933274413
489.0304999999993,59.97001499250375,0,0.0,72.36384526161964,0.004649640413046996,40.41633659371359,0.006720761256421482,70.48774179806242,0.006741009045774118,38.52425559747201,0.008964168851949955,7.628024943008108,22.522289967026502,121.55054933274413
489.04049999999904,59.97001499250375,0,0.0,73.57540506608926,0.004280159913237287,40.20126699640066,0.0064190605426287855,71.76478074396378,0.006804854702167721,38.73790612334771,0.009004685529455521,7.628024943008108,22.522289967026502,121.55054933274413
489.0504999999988,59.97001499250375,0,0.0,73.93913596592328,0.003981203265491428,39.74558439768509,0.006183272044619467,72.52819980551838,0.0068436853569504765,38.59560261655237,0.008985538720423951,7.628024943008108,22.522289967026502,121.55054933274413
489.06049999999857,59.97001499250375,0,0.0,73.89526957221277,0.0037567717648070023,39.10309738067116,0.006004010707581041,72.78413337190426,0.006857765851639956,38.174867626131345,0.008919637058645943,7.628024943008108,22.522289967026502,121.55054933274413
489.07049999999833,59.97001499250375,0,0.0,73.35239141996908,0.003593815365620645,38.216686568698094,0.005869767953566648,72.5920649104298,0.0068517779045423385,37.5577479751481,0.008820833298776788,7.628024943008108,22.522289967026502,121.55054933274413
489.0804999999981,59.97001499250375,0,0.0,72.56374572375762,0.003486195173571162,37.24660514734546,0.005775453126330431,72.07623507398641,0.006828629355371448,36.786707228812936,0.008695814125031264,7.628024943008108,22.522289967026502,121.55054933274413
489.09049999999786,59.97001499250375,0,0.0,71.43116983085494,0.0034309398939098294,36.15887385407942,0.005718098620060211,71.2224437474017,0.006789370705928563,35.883847185171255,0.008548565591967525,7.628024943008108,22.522289967026502,121.55054933274413
